academic_term,academic_year,faculty_abbrev,faculty,subject_abbrev,subject,title,course_number_raw,course_credit_raw
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Oboe,1020B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Clarinet,1020C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Bassoon,1020D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Saxophone,1020E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: French Horn,1020F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trumpet,1020G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trombone,1020H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Tuba,1020I,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Percussion,1020J,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Guitar,1020L,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Voice,1020M,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Violin,1020N,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Viola,1020O,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Cello,1020P,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Double Bass,1020Q,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance:  Harp,1020R,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance:  Euphonium,1020S,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Plucked Strings: Medieval and Renaissance,1020T,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Recorder,1020U,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Medieval and Renaissance Bowed Strings,1020W,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,York University Concert Choir,1024,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Orchestra,1026,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,York University Chamber Choir,1028V,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Private lessons in open-style improvisation,1033,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,West African Drum Ensemble: Ghanaian,1043,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Introduction to Jazz Performance,1050,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Orchestra I,1052,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Piano,1054A,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Bass,1054B,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Percussion,1054C,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Guitar,1054D,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Woodwind,1054E,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Brass,1054F,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Vocal,1054G,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Strings,1054H,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Gospel Performance: Private Instruction,1056,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Theory and Musicianship I,1059,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Piano Performance,1080,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Piano Accompanying,1082,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Harpsichord,1083,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Organ: Classical performance private instruction on organ,1084,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Escola de Samba,1094,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Ashkenazi and Sephardic Vocal Music,1099A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Balkan Vocal Music,1099B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Folk Fiddle,1099C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Dizi,1099D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Early Music Wind Instruments,1099E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Flamenco Guitar,1099F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Folk Guitar,1099G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Hand Percussion: Various Traditions,1099H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Jembe,1099J,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Baglama,1099L,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Ghanaian Percussion,1099N,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Pipa,1099P,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Persian Radif,1099S,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Tabla,1099T,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction: Traditional Harp,1099U,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Village Folk Vocal Styles,1099V,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - World Rhythms for Drumkit,1099W,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Xiao,1099X,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Yangqin and Zheng,1099Y,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Zhonghu and Erhu,1099Z,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Composition Studio I,1110,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Musics and Cultures I,1200,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,The Music of Bollywood Films,1500,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Rhythm and Blues, Soul, Funk and Rap,1520,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Gospel Choir,1556,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Women and Popular Music,1580,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Workshop in Musicianship II,2000,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Flute,2020A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Oboe,2020B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Clarinet,2020C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Bassoon,2020D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Saxophone,2020E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: French Horn,2020F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trumpet,2020G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trombone,2020H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Tuba,2020I,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Percussion,2020J,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Guitar,2020L,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Voice,2020M,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Violin,2020N,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Viola,2020O,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Cello,2020P,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Double Bass,2020Q,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance:  Harp,2020R,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance:  Euphonium,2020S,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Plucked Strings: Medieval and Renaissance,2020T,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Recorder,2020U,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Medieval and Renaissance Bowed Strings,2020W,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,York University Concert Choir,2024,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Orchestra,2026,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Chamber Music Performance,2028X,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Contemporary Musicianship and Improvisation,2032,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Private lessons in open-style improvisation,2033,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Celtic Canadian Folk Ensemble,2044,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Workshop II: New Directions,2051A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Piano,2054A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Bass,2054B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Percussion,2054C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Guitar,2054D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Woodwind,2054E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Brass,2054F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Vocal,2054G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Strings,2054H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Gospel Performance: Private Instruction,2056,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,York Rhythm and Blues Ensemble,2058,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Piano Performance,2080,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Piano Accompanying,2082,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Harpsichord,2083,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Organ: Classical performance private instruction on organ,2084,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Escola de Samba,2094,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Ashkenazi and Sephardic Vocal Music,2099A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Balkan Vocal Music,2099B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Folk Fiddle,2099C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Dizi,2099D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Early Music Wind Instruments,2099E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Flamenco Guitar,2099F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music:  Folk Guitar,2099G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Hand Percussion: Various Traditions,2099H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Jembe,2099J,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Baglama,2099L,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Ghanaian Percussion,2099N,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Pipa,2099P,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Persian Radif,2099S,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Tabla,2099T,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction: Traditional Harp,2099U,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Village Folk Vocal Styles,2099V,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - World Rhythms for Drumkit,2099W,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Xiao,2099X,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Yangqin and Zheng,2099Y,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Zhonghu and Erhu,2099Z,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Composition Studio II,2110,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Musics and Cultures II,2200,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Contemporary Black Urban Music,2520,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Gospel Ensemble: Instrumental,2557,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Conducting and Score Study,3002,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Flute,3020A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Oboe,3020B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Clarinet,3020C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Bassoon,3020D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Saxophone,3020E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: French Horn,3020F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trumpet,3020G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trombone,3020H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Tuba,3020I,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Percussion,3020J,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Guitar,3020L,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Voice,3020M,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Violin,3020N,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Viola,3020O,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Cello,3020P,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Double Bass,3020Q,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance:  Harp,3020R,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance:  Euphonium,3020S,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Plucked Strings: Medieval and Renaissance,3020T,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Recorder,3020U,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Medieval and Renaissance Bowed Strings,3020W,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,York University Concert Choir,3024,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Orchestra,3026,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Chamber Music,3028X,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Recital I,3030,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Private lessons in open-style improvisation,3033,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,West African Drum Ensemble: Ghanaian,3043,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Workshop III,3051,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Orchestra III,3052,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Piano,3054A,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Bass,3054B,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Percussion,3054C,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Guitar,3054D,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Woodwind,3054E,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Brass,3054F,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Vocal,3054G,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Strings,3054H,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Gospel Performance: Private Instruction,3056,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz Theory and Musicianship III,3059,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Piano Performance,3080,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Piano Accompanying,3082,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Harpsichord,3083,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Organ: Classical performance private instruction on organ,3084,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Escola de Samba,3094,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Ashkenazi and Sephardic Vocal Music,3099A,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Balkan Vocal Music,3099B,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Folk Fiddle,3099C,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Dizi,3099D,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Early Music Wind Instruments,3099E,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Flamenco Guitar,3099F,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Folk Guitar,3099G,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Hand Percussion: Various Traditions,3099H,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Jembe,3099J,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Baglama,3099L,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Ghanaian Percussion,3099N,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Pipa,3099P,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Persian Radif,3099S,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Tabla,3099T,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction: Traditional Harp,3099U,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Village Folk Vocal Styles,3099V,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - World Rhythms for Drumkit,3099W,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Xiao,3099X,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Yangqin  and Zheng,3099Y,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,World Music: Individual Instruction - Zhonghu and Erhu,3099Z,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Composition Studio III,3110,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Introduction to Music Recording,3144,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Romantic Music,3334,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,The Musical Voice,3336,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Jazz History 2,3361,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,African-American Popular Music,3510,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Gospel Ensemble: Instrumental,3557,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Vocal Music Education,3604,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Music for Health and Wellness,3703,3.00
Fall/Winter,2024-2025,ED,Faculty of Education,MUSI,Music,Teaching Music in the Intermediate-Senior Divisions - B,4001,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Flute,4020A,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Oboe,4020B,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Clarinet,4020C,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Bassoon,4020D,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Saxophone,4020E,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: French Horn,4020F,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trumpet,4020G,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,MUSI,Music,Classical Performance: Trombone,4020H,6.00
